Old example; dg_1750784116t,,,,2024_07_26_wall_kit_gdp,,,,.csv/Legacy,Kit Wall '77 Oral History Interview for the Georgia Dentel Project,1977,7/26/24,"Wall describes her time as a Grinnell student, focusing on her experiance as a female student, the changes that occured following Title IX passing, and her role in the student government.",concerts; music; Sex discrimination in higher education; College student government;,Georgia Dentel; Kit Wall; Maya Albanese,,,Video Recording,.mp4,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,transcript,,,,https://digital-grinnell.nyc3.cdn.digitaloceanspaces.com/Georgia-Dentel/dg_1750784116.mp4,https://collectionbuilder.blob.core.windows.net/smalls/Georgia_Dentel/Kit-Walls-SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/Georgia_Dentel/Kit-Walls-SMALL.jpg,,dg_1750784116.csv,,,,,,,,
Comments,filename,objectid,originating_system_id,original_file_name,short_filename,sort_index,parentid,admin_notes,title,creation_date,aquisition_date,description,subject,donor,source,identifier,type,format,language,rights,rightsstatement,display_template,WORKSPACE1,WORKSPACE2,WORKSPACE3,object_location,image_small,image_thumb,image_alt_text,object_transcript,creator,collection,focused_event,bio,pdf,temp1,temp2,temp3
,10_0.jpg,dg_1780600777,10,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780600777.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780600777_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780600777_TN.jpg,,,,,,,,,,
,11_0.jpg,dg_1780600778,11,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780600778.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780600778_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780600778_TN.jpg,,,,,,,,,,
,13_0.jpg,dg_1780600779,13,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780600779.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780600779_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780600779_TN.jpg,,,,,,,,,,
,15_0.jpg,dg_1780600780,15,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780600780.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780600780_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780600780_TN.jpg,,,,,,,,,,
,1_0.jpg,dg_1780600781,1,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780600781.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780600781_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780600781_TN.jpg,,,,,,,,,,
,4_0.jpg,dg_1780600782,4,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780600782.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780600782_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780600782_TN.jpg,,,,,,,,,,
,5_0.jpg,dg_1780600783,5,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780600783.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780600783_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780600783_TN.jpg,,,,,,,,,,
,8_1.jpg,dg_1780600784,8,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780600784.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780600784_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780600784_TN.jpg,,,,,,,,,,
,8_2.jpg,dg_1780600785,8,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780600785.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780600785_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780600785_TN.jpg,,,,,,,,,,
,9_0.jpg,dg_1780600786,9,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780600786.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780600786_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780600786_TN.jpg,,,,,,,,,,
,_Walker_flyer-1.jpg,dg_1780603935,Walker_flyer,,,,,,Walker flyer,,,,,,,,,,,,,compound_object,,,,,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780603931_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780603931_TN.jpg,,,,,,,,,,
,Walker_diskettes.jpg,dg_1780603929,Walker_diskettes,,,,dg_1780603935,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780603929.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780603929_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780603929_TN.jpg,,,,,,,,,,
,Walker_diskettes_and_flyer_package.jpg,dg_1780603930,Walker_diskettes_and_flyer_package,,,,dg_1780603935,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780603930.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780603930_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780603930_TN.jpg,,,,,,,,,,
,Walker_flyer-1.jpg,dg_1780603931,Walker_flyer,,,,dg_1780603935,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780603931.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780603931_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780603931_TN.jpg,,,,,,,,,,
,Walker_flyer-2.jpg,dg_1780603932,Walker_flyer,,,,dg_1780603935,0,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780603932.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780603932_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780603932_TN.jpg,,,,,,,,,,
,Walker_flyer-3.jpg,dg_1780603933,Walker_flyer,,,,dg_1780603935,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780603933.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780603933_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780603933_TN.jpg,,,,,,,,,,
,walker-lab-1.jpg,dg_1780603934,walker-lab,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780603934.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780603934_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780603934_TN.jpg,,,,,,,,,,